US20030122874A1: (dynamic, document, )
US6844389B2: (clay, smectite, dimethyl)
US6844389B2: (clay, smectite, )
US6844389B2: (clay, smectite, )
US6844389B2: (clay, , dimethyl)
US6844389B2: (allow, quaternary ammonium, )
US6844389B2: (weight, ethylene, percent)
US6844389B2: (agent, ethylene polymer, )
US6844389B2: (group, carboxylate, )
US6844389B2: (weight, ethylene, )
US6844389B2: (derivative, unsaturated carboxylic acid, )
===========================
US20070254143A1: (expand, , polymeric)
US20070254143A1: (weight, , percent)
US20070254143A1: (compound, nanoparticles, )
US20070254143A1: (base, , polymeric)
US20070254143A1: (air permeability, great, )
US20070254143A1: (air permeability, great, )
US20070254143A1: (density, polyethylene, )
US20070254143A1: (web, , linear low)
US20030168776A1: (produce, breathable film, )
US20030168776A1: (composite, breathable film, )
US20030168776A1: (composite, , least)
US20030168776A1: (layer, polyolefin film, )
US20030168776A1: (filler, polyolefin composition, )
US20030168776A1: (range, polyolefin composition, )
US20030168776A1: (first, passing, )
US20030168776A1: (layer, , least)
US20030168776A1: (pair, groove roller, )
US20030168776A1: (composite, great, )
US20030168776A1: (three-dimensional, , form film)
US20030168776A1: (second, polyolefin film, )
===========================
US20070254143A1: (expand, , polymeric)
US20070254143A1: (weight, , percent)
US20070254143A1: (compound, nanoparticles, )
US20070254143A1: (base, , polymeric)
US20070254143A1: (air permeability, great, )
US20070254143A1: (air permeability, great, )
US20070254143A1: (density, polyethylene, )
US20070254143A1: (web, , linear low)
US6844389B2: (composite, ethylene polymer, )
US6844389B2: (improve, melt strength, )
US6844389B2: (weight, , percent)
US6844389B2: (resin, copolymer base, )
US6844389B2: (clay, smectite, dimethyl)
US6844389B2: (clay, smectite, )
US6844389B2: (clay, smectite, )
US6844389B2: (clay, , dimethyl)
US6844389B2: (allow, quaternary ammonium, )
US6844389B2: (weight, ethylene, percent)
US6844389B2: (agent, ethylene polymer, )
US6844389B2: (group, carboxylate, )
US6844389B2: (weight, ethylene, )
US6844389B2: (derivative, unsaturated carboxylic acid, )
===========================
US20070254142A1: (expand, , polymeric)
US20070254142A1: (weight, , percent)
US20070254142A1: (compound, nanoparticles, )
US20070254142A1: (base, ring roll, polymeric)
US20070254142A1: (expand, ring roll, )
US20070254142A1: (base, ring roll, )
US20070254142A1: (base, , polymeric)
US20070254142A1: (web, machine direction, )
US20070254142A1: (modulus, great, )
US20070254142A1: (density, polyethylene, )
US20070254142A1: (web, , linear low)
US20070254142A1: (modulus, machine direction, )
US20030168776A1: (produce, breathable film, )
US20030168776A1: (composite, breathable film, )
US20030168776A1: (composite, , least)
US20030168776A1: (layer, polyolefin film, )
US20030168776A1: (filler, polyolefin composition, )
US20030168776A1: (range, polyolefin composition, )
US20030168776A1: (first, passing, )
US20030168776A1: (layer, , least)
US20030168776A1: (pair, groove roller, )
US20030168776A1: (composite, great, )
US20030168776A1: (three-dimensional, , form film)
US20030168776A1: (second, polyolefin film, )
===========================
US20070254142A1: (expand, , polymeric)
US20070254142A1: (weight, , percent)
US20070254142A1: (compound, nanoparticles, )
US20070254142A1: (base, ring roll, polymeric)
US20070254142A1: (expand, ring roll, )
US20070254142A1: (base, ring roll, )
US20070254142A1: (base, , polymeric)
US20070254142A1: (web, machine direction, )
US20070254142A1: (modulus, great, )
US20070254142A1: (density, polyethylene, )
US20070254142A1: (web, , linear low)
US20070254142A1: (modulus, machine direction, )
US6844389B2: (composite, ethylene polymer, )
US6844389B2: (improve, melt strength, )
US6844389B2: (weight, , percent)
US6844389B2: (resin, copolymer base, )
US6844389B2: (clay, smectite, dimethyl)
US6844389B2: (clay, smectite, )
US6844389B2: (clay, smectite, )
US6844389B2: (clay, , dimethyl)
US6844389B2: (allow, quaternary ammonium, )
US6844389B2: (weight, ethylene, percent)
US6844389B2: (agent, ethylene polymer, )
US6844389B2: (group, carboxylate, )
US6844389B2: (weight, ethylene, )
US6844389B2: (derivative, unsaturated carboxylic acid, )
===========================
US20050287069A1: (performance, anhydrous, )
US20050287069A1: (use, phenol red, )
US20050287069A1: (standard, , photometric)
US20050287069A1: (convert, , measurement standard)
US20050287069A1: (measurement, antiperspirant composition, least)
US20050287069A1: (measurement, antiperspirant composition, )
US20050287069A1: (measurement, , least)
US20030113282A1: (antiperspirant, cosmetic stick, )
US20030113282A1: (formulation, cosmetic stick, )
US20030113282A1: (melt, organic ester, )
US20030113282A1: (wax, organic, )
US20030113282A1: (wax, low melt, )
US20030113282A1: (mixture, high melt, )
US20030113282A1: (active, antiperspirant composition, 25%)
US20030113282A1: (active, antiperspirant composition, )
US20030113282A1: (select, emollient, octyl)
US20030113282A1: (liquid, emollient, )
US20030113282A1: (select, emollient, )
US20030113282A1: (select, , octyl)
US20030113282A1: (mixture, castor oil, stearyl)
US20030113282A1: (mixture, castor oil, )
US20030113282A1: (number, , average molecular weight)
US20030113282A1: (antiperspirant, active agent, )
US20030113282A1: (component, liquid form, )
US20030113282A1: (component, mixture liquid, )
US20030113282A1: (form, mixture liquid, )
===========================
US20070095744A1: (include, sidewall, interior space)
US20070095744A1: (include, sidewall, )
US20070095744A1: (one end, entrance opening, )
US20070095744A1: (include, sidewall, )
US20070095744A1: (edge, entrance opening, )
US20070095744A1: (instal, cartridge, )
US20070095744A1: (insertion, fluid filter, )
US20070095744A1: (via, entrance opening, )
US20070095744A1: (include, cartridge, filter medium)
US20070095744A1: (include, cartridge, )
US20070095744A1: (include, , filter medium)
US20070095744A1: (element, endplate, )
US20070095744A1: (attach, endplate, )
US20070095744A1: (one end, , filter medium)
US20070095744A1: (position, , mean)
US20070095744A1: (fix, , axial depth)
US20070095744A1: (shell, cartridge, )
US20070095744A1: (include, first form, )
US20070095744A1: (configure, first form, )
US20070095744A1: (expose, , upper edge)
US20070095744A1: (part, endplate, )
US20070095744A1: (second, first form, )
US20070095744A1: (include, , annular sidewall)
US20070095744A1: (annular, entrance opening, )
US20070095744A1: (plastic, endplate, )
US20070095744A1: (position, fluid filter, )
US20070095744A1: (installation, cartridge, )
US20070095744A1: (upper, annular edge, )
US20070095744A1: (insertion, circular, )
US20070095744A1: (opening, , outside diameter)
US20070095744A1: (shell, outer surface, )
US20070095744A1: (bond, endplate, )
US20070095744A1: (filter, , medial)
US20070095744A1: (construct, endplate, )
US20070095744A1: (projection, , outside diameter)
US20070095744A1: (dimension, , outside diameter)
US20070095744A1: (dimension, circular, )
US20060180539A1: (system, liquid filter, )
US20060180539A1: (across, , least)
US20060180539A1: (housing, outer circumference, )
US20060180539A1: (across, , low edge)
US20060180539A1: (interrupt, , least)
US20060180539A1: (one, , axially)
US20060180539A1: (recess, , laterally)
US20060180539A1: (provide, outer surface, low edge)
US20060180539A1: (filter element, canister, )
US20060180539A1: (provide, canister, )
US20060180539A1: (provide, outer surface, )
US20060180539A1: (receive, , axially)
===========================
US20070095744A1: (include, sidewall, interior space)
US20070095744A1: (include, sidewall, )
US20070095744A1: (one end, entrance opening, )
US20070095744A1: (include, sidewall, )
US20070095744A1: (edge, entrance opening, )
US20070095744A1: (instal, cartridge, )
US20070095744A1: (insertion, fluid filter, )
US20070095744A1: (via, entrance opening, )
US20070095744A1: (include, cartridge, filter medium)
US20070095744A1: (include, cartridge, )
US20070095744A1: (include, , filter medium)
US20070095744A1: (element, endplate, )
US20070095744A1: (attach, endplate, )
US20070095744A1: (one end, , filter medium)
US20070095744A1: (position, , mean)
US20070095744A1: (fix, , axial depth)
US20070095744A1: (shell, cartridge, )
US20070095744A1: (include, first form, )
US20070095744A1: (configure, first form, )
US20070095744A1: (expose, , upper edge)
US20070095744A1: (part, endplate, )
US20070095744A1: (second, first form, )
US20070095744A1: (include, , annular sidewall)
US20070095744A1: (annular, entrance opening, )
US20070095744A1: (plastic, endplate, )
US20070095744A1: (position, fluid filter, )
US20070095744A1: (installation, cartridge, )
US20070095744A1: (upper, annular edge, )
US20070095744A1: (insertion, circular, )
US20070095744A1: (opening, , outside diameter)
US20070095744A1: (shell, outer surface, )
US20070095744A1: (bond, endplate, )
US20070095744A1: (filter, , medial)
US20070095744A1: (construct, endplate, )
US20070095744A1: (projection, , outside diameter)
US20070095744A1: (dimension, , outside diameter)
US20070095744A1: (dimension, circular, )
US20030196947A1: (one end, liquid flow passage, )
US20030196947A1: (filter cartridge, , insertable)
US20030196947A1: (neck, cartridge, )
US20030196947A1: (attach, cartridge, )
US20030196947A1: (lock, cartridge, within)
US20030196947A1: (retain, ring housing, )
US20030196947A1: (lock, ring housing, )
US20030196947A1: (lock, cartridge, )
US20030196947A1: (replaceable, reverse osmosis filter, cartridge type)
US20030196947A1: (housing, cartridge, )
US20030196947A1: (removable, cartridge, )
US20030196947A1: (removable, filter assembly, )
US20030196947A1: (include, filter assembly, )
US20030196947A1: (replaceable, reverse osmosis filter, )
US20030196947A1: (housing, , cylindrical inner wall)
US20030196947A1: (neck, cylindrical, )
US20030196947A1: (one, axial end, )
US20030196947A1: (liquid flow, axial end, )
US20030196947A1: (interior, , open end)
US20030196947A1: (include, , integral center)
US20030196947A1: (housing, inner wall, open end)
US20030196947A1: (attach, inner wall, )
US20030196947A1: (housing, inner wall, )
US20030196947A1: (housing, , open end)
US20030196947A1: (ring, , outer wall)
US20030196947A1: (housing, inner wall, )
US20030196947A1: (attach, cartridge, )
US20030196947A1: (neck, cartridge, )
US20030196947A1: (first, , annular seal)
US20030196947A1: (engage, , cylindrical inner wall)
US20030196947A1: (ring, cartridge, )
US20030196947A1: (insert, cartridge, )
US20030196947A1: (connector, , mean)
US20030196947A1: (withdrawal, filter assembly, )
US20030196947A1: (impervious, cylindrical body, )
US20030196947A1: (impervious, outer surface, )
US20030196947A1: (extend, outer surface, )
US20030196947A1: (brine, outlet end, )
US20030196947A1: (body, axial end, )
US20030196947A1: (body, permeate outlet, )
US20030196947A1: (surround, cartridge body, )
US20030196947A1: (surround, cartridge, )
US20030196947A1: (receive, , within)
US20030196947A1: (seal, , mean)
US20030196947A1: (brine, inner wall, )
US20030196947A1: (ring, outer surface, )
US20030196947A1: (prevent, cartridge body, )
===========================
US20070106611A1: (assign, unique, )
US20070106611A1: (account, identifier, )
US20070106611A1: (receive, funding, )
US20070106611A1: (associate, amount, )
US20070106611A1: (system, electronically, )
